scenario,probability,case,case_name,duration_h,start,direction,F_PHYS_MW,F_RM_MW,retained_ratio,loss_MW,baseline_window_avg_MW,base_p2a_tau_MW,base_h2_prev_kg,base_used_matching_margin_tau_MW,base_available_matching_headroom_tau_MW
1,0.145038167939,1,MONTHLY,4,169,INC,21.1791179258,21.1791179258,1.0000000000,0.0000000000,86.1480840000,86.1480840000,12500.6715663026,4.9659717131,22.3891797131
1,0.145038167939,1,MONTHLY,4,169,DEC,83.7538034997,83.7538034997,1.0000000000,0.0000000000,86.1480840000,86.1480840000,12500.6715663026,4.9659717131,22.3891797131
1,0.145038167939,1,MONTHLY,4,175,INC,21.1791179258,21.1791179258,1.0000000000,-0.0000000000,86.1480840000,86.1480840000,11408.7385674036,4.9659717131,27.9989087131
1,0.145038167939,1,MONTHLY,4,175,DEC,83.7538034997,83.7538034997,1.0000000000,0.0000000000,86.1480840000,86.1480840000,11408.7385674036,4.9659717131,27.9989087131
1,0.145038167939,1,MONTHLY,4,181,INC,21.1791179258,21.1791179258,1.0000000000,-0.0000000000,86.1480840000,86.1480840000,10316.8055685045,4.9659717131,140.4432487131
1,0.145038167939,1,MONTHLY,4,181,DEC,83.7538034997,83.7538034997,1.0000000000,0.0000000000,86.1480840000,86.1480840000,10316.8055685045,4.9659717131,140.4432487131
1,0.145038167939,1,MONTHLY,4,187,INC,21.1791179258,21.1791179258,1.0000000000,0.0000000000,86.1480840000,86.1480840000,9224.8725696054,4.9659717131,39.3284097131
1,0.145038167939,1,MONTHLY,4,187,DEC,83.7538034997,83.7538034997,1.0000000000,0.0000000000,86.1480840000,86.1480840000,9224.8725696054,4.9659717131,39.3284097131
1,0.145038167939,1,MONTHLY,4,337,INC,7.1437559258,7.1437559258,1.0000000000,0.0000000000,98.8693291774,98.5231683547,1355.4603652969,5.2426430627,23.3581727080
1,0.145038167939,1,MONTHLY,4,337,DEC,15.5462605521,15.5462605521,1.0000000000,0.0000000000,98.8693291774,98.5231683547,1355.4603652969,5.2426430627,23.3581727080
1,0.145038167939,1,MONTHLY,4,343,INC,1.3829373681,1.3829373681,1.0000000000,0.0000000000,105.9442645577,105.9442645577,1571.0537076627,5.4065740546,43.0695334969
1,0.145038167939,1,MONTHLY,4,343,DEC,26.5957429648,26.5957429648,1.0000000000,0.0000000000,105.9442645577,105.9442645577,1571.0537076627,5.4065740546,43.0695334969
1,0.145038167939,1,MONTHLY,4,349,INC,1.3829373681,1.3829373681,1.0000000000,0.0000000000,105.9442645577,105.9442645577,2218.3404778069,5.4065740546,90.7033904969
1,0.145038167939,1,MONTHLY,4,349,DEC,37.0944262667,37.0944262667,1.0000000000,0.0000000000,105.9442645577,105.9442645577,2218.3404778069,5.4065740546,90.7033904969
1,0.145038167939,1,MONTHLY,4,355,INC,1.3829373681,1.3829373681,1.0000000000,-0.0000000000,105.9442645577,105.9442645577,2865.6272479511,5.4065740546,74.6623454969
1,0.145038167939,1,MONTHLY,4,355,DEC,47.3179891809,47.3179891809,1.0000000000,0.0000000000,105.9442645577,105.9442645577,2865.6272479511,5.4065740546,74.6623454969
1,0.145038167939,1,MONTHLY,4,505,INC,1.3829373681,1.3829373681,1.0000000000,0.0000000000,105.9442645577,105.9442645577,19047.7965015548,5.4065740546,90.1496414969
1,0.145038167939,1,MONTHLY,4,505,DEC,103.5499840574,103.5499840574,1.0000000000,0.0000000000,105.9442645577,105.9442645577,19047.7965015548,5.4065740546,90.1496414969
