scenario,probability,case,case_name,duration_h,direction,n_events,mean_phys_MW,mean_rm_MW,retained_ratio_of_means,mean_event_retained_ratio,mean_loss_MW,rm_zero_fraction,min_phys_MW,max_phys_MW,min_rm_MW,max_rm_MW
6,0.076335877863,1,MONTHLY,24,DEC,20,28.57217818377,28.57217818393,1.0000000000055997,1.000000000005087,-1.599998356027754e-10,0.0,0.1110326049,76.5051279887,0.1110326049,76.5051279887
6,0.076335877863,1,MONTHLY,24,INC,20,5.81069111116,5.81069111116,1.0,1.0,0.0,0.0,0.0888255836,17.6961094798,0.0888255836,17.6961094798
6,0.076335877863,2,HOURLY,1,DEC,20,67.36157835649001,63.734733010695,0.9461585456534128,0.9086795873968541,3.6268453457949987,0.0,0.5097595184,104.6672595468,0.5097595184,104.6672595468
6,0.076335877863,2,HOURLY,1,INC,20,5.8791492476450005,5.729395269905,0.974527950995633,0.9825367468933699,0.14975397774000002,0.0,0.0888255836,17.6961220884,0.0888255836,17.6961220884
6,0.076335877863,2,HOURLY,4,DEC,20,56.00088410414999,55.229133984369994,0.9862189654301761,0.9324062252049344,0.7717501197800001,0.0,0.5097482857,104.6672595468,0.5097482857,104.6672595468
6,0.076335877863,2,HOURLY,4,INC,20,5.879149234735,5.729395256995,0.9745279509396991,0.9825367468933699,0.14975397774000002,0.0,0.0888255836,17.6961218302,0.0888255836,17.6961218302
6,0.076335877863,2,HOURLY,12,DEC,20,40.08039879329,39.817135995615004,0.9934316322790913,0.9378445424100263,0.26326279767499977,0.0,0.3108907934,104.6672595468,0.3108907934,104.6672595468
6,0.076335877863,2,HOURLY,12,INC,20,5.810801617625,4.6825028107749995,0.8058273399959642,0.9087426200869893,1.12829880685,0.0,0.0888255836,17.6961218302,0.0888255836,17.6961218302
6,0.076335877863,2,HOURLY,24,DEC,20,28.740500800245,28.608695954865,0.9954139683822462,0.944655084256205,0.13180484537999976,0.0,0.1110326049,76.5059882306,0.1110326049,76.5059882306
6,0.076335877863,2,HOURLY,24,INC,20,5.810801617625,3.4206093582749992,0.5886639371579642,0.8374335804788606,2.3901922593500005,0.0,0.0888255836,17.6961218302,0.0888255836,17.6961218302
7,0.099236641221,1,MONTHLY,1,DEC,20,92.62085138950002,92.62085138950002,1.0,1.0,0.0,0.0,92.6208513895,92.6208513895,92.6208513895,92.6208513895
7,0.099236641221,1,MONTHLY,1,INC,20,12.312070035999998,12.312070035999998,1.0,1.0,0.0,0.0,12.312070036,12.312070036,12.312070036,12.312070036
7,0.099236641221,1,MONTHLY,4,DEC,20,92.62085138950002,92.62085138950002,1.0,1.0,0.0,0.0,92.6208513895,92.6208513895,92.6208513895,92.6208513895
7,0.099236641221,1,MONTHLY,4,INC,20,12.312070035999998,12.312070035999998,1.0,1.0,0.0,0.0,12.312070036,12.312070036,12.312070036,12.312070036
7,0.099236641221,1,MONTHLY,12,DEC,20,68.08406683358001,68.08406683358001,1.0,1.0,0.0,0.0,39.9259610342,73.1620134675,39.9259610342,73.1620134675
7,0.099236641221,1,MONTHLY,12,INC,20,12.312070035999998,12.312070035999998,1.0,1.0,0.0,0.0,12.312070036,12.312070036,12.312070036,12.312070036
7,0.099236641221,1,MONTHLY,24,DEC,20,39.182702999209994,39.182702999209994,1.0,1.0,0.0,0.0,14.9252068813,44.1706644042,14.9252068813,44.1706644042
7,0.099236641221,1,MONTHLY,24,INC,20,12.312070035999998,12.312070035999998,1.0,1.0,0.0,0.0,12.312070036,12.312070036,12.312070036,12.312070036
7,0.099236641221,2,HOURLY,1,DEC,20,92.62085138950002,92.62085138950002,1.0,1.0,0.0,0.0,92.6208513895,92.6208513895,92.6208513895,92.6208513895
7,0.099236641221,2,HOURLY,1,INC,20,12.312070035999998,12.312070035999998,1.0,1.0,0.0,0.0,12.312070036,12.312070036,12.312070036,12.312070036
7,0.099236641221,2,HOURLY,4,DEC,20,92.62085138950002,92.62085138950002,1.0,1.0,0.0,0.0,92.6208513895,92.6208513895,92.6208513895,92.6208513895
7,0.099236641221,2,HOURLY,4,INC,20,12.312070035999998,12.312070035999998,1.0,1.0,0.0,0.0,12.312070036,12.312070036,12.312070036,12.312070036
7,0.099236641221,2,HOURLY,12,DEC,20,68.08406683358001,68.08406683358001,1.0,1.0,0.0,0.0,39.9259610342,73.1620134675,39.9259610342,73.1620134675
7,0.099236641221,2,HOURLY,12,INC,20,12.312070035999998,12.312070035999998,1.0,1.0,0.0,0.0,12.312070036,12.312070036,12.312070036,12.312070036
7,0.099236641221,2,HOURLY,24,DEC,20,39.182702999209994,39.182702999209994,1.0,1.0,0.0,0.0,14.9252068813,44.1706644042,14.9252068813,44.1706644042
7,0.099236641221,2,HOURLY,24,INC,20,12.312070035999998,12.312070035999998,1.0,1.0,0.0,0.0,12.312070036,12.312070036,12.312070036,12.312070036
8,0.099236641221,1,MONTHLY,1,DEC,20,92.42523099581999,92.42523099581999,1.0,1.0,0.0,0.0,86.385563096,97.1208488113,86.385563096,97.1208488113
8,0.099236641221,1,MONTHLY,1,INC,20,12.507690429679998,12.507690429679998,1.0,1.0,0.0,0.0,7.8120726142,18.5473583295,7.8120726142,18.5473583295
8,0.099236641221,1,MONTHLY,4,DEC,20,77.07608745673501,77.07608745673501,1.0,1.0,0.0,0.0,33.8100082001,96.1170899879,33.8100082001,96.1170899879
8,0.099236641221,1,MONTHLY,4,INC,20,12.507690429679998,12.507690429679998,1.0,1.0,0.0,0.0,7.8120726142,18.5473583295,7.8120726142,18.5473583295
8,0.099236641221,1,MONTHLY,12,DEC,20,59.369247006114996,59.369247006114996,1.0,1.0,0.0,0.0,11.5135419689,96.1170899879,11.5135419689,96.1170899879
8,0.099236641221,1,MONTHLY,12,INC,20,12.507690429679998,12.507690429679998,1.0,1.0,0.0,0.0,7.8120726142,18.5473583295,7.8120726142,18.5473583295
8,0.099236641221,1,MONTHLY,24,DEC,20,37.546588141735,37.546588141735,1.0,1.0,0.0,0.0,1.9530187788,70.5007174416,1.9530187788,70.5007174416
8,0.099236641221,1,MONTHLY,24,INC,20,11.411715478649999,11.411715478649999,1.0,1.0,0.0,0.0,7.5876088186,18.5473583295,7.5876088186,18.5473583295
8,0.099236641221,2,HOURLY,1,DEC,20,92.42523099581999,92.42523099581999,1.0,1.0,0.0,0.0,86.385563096,97.1208488113,86.385563096,97.1208488113
8,0.099236641221,2,HOURLY,1,INC,20,12.507690429679998,12.507690429679998,1.0,1.0,0.0,0.0,7.8120726142,18.5473583295,7.8120726142,18.5473583295
8,0.099236641221,2,HOURLY,4,DEC,20,77.07608745668999,77.07608745668999,1.0,1.0,0.0,0.0,33.8100081996,96.1170899879,33.8100081996,96.1170899879
8,0.099236641221,2,HOURLY,4,INC,20,12.507690429679998,12.507690429679998,1.0,1.0,0.0,0.0,7.8120726142,18.5473583295,7.8120726142,18.5473583295
8,0.099236641221,2,HOURLY,12,DEC,20,59.369247006115,59.369247006115,1.0,1.0,0.0,0.0,11.513541969,96.1170899879,11.513541969,96.1170899879
8,0.099236641221,2,HOURLY,12,INC,20,12.507690429679998,11.825133673755,0.9454290334604595,0.9631992468253887,0.6825567559250001,0.0,7.8120726142,18.5473583295,4.896223211,18.5473583295
8,0.099236641221,2,HOURLY,24,DEC,20,37.546588141735,37.546588141735,1.0,1.0,0.0,0.0,1.9530187788,70.5007174416,1.9530187788,70.5007174416
8,0.099236641221,2,HOURLY,24,INC,20,11.411715478649999,10.437573782405,0.9146366996208848,0.9258743325907226,0.974141696245,0.0,7.5876088186,18.5473583295,4.896223211,18.5473583295
9,0.145038167939,1,MONTHLY,1,DEC,20,92.62085138950002,92.62085138950002,1.0,1.0,0.0,0.0,92.6208513895,92.6208513895,92.6208513895,92.6208513895
9,0.145038167939,1,MONTHLY,1,INC,20,12.312070035999998,12.312070035999998,1.0,1.0,0.0,0.0,12.312070036,12.312070036,12.312070036,12.312070036
9,0.145038167939,1,MONTHLY,4,DEC,20,90.70403387884502,90.70403387884502,1.0,1.0,0.0,0.0,70.2494121362,92.6208513895,70.2494121362,92.6208513895
9,0.145038167939,1,MONTHLY,4,INC,20,12.312070035999998,12.312070035999998,1.0,1.0,0.0,0.0,12.312070036,12.312070036,12.312070036,12.312070036
9,0.145038167939,1,MONTHLY,12,DEC,20,63.77279966375498,63.77279966375498,1.0,1.0,0.0,0.0,17.8063594596,73.1620134677,17.8063594596,73.1620134677
9,0.145038167939,1,MONTHLY,12,INC,20,12.312070035999998,12.312070035999998,1.0,1.0,0.0,0.0,12.312070036,12.312070036,12.312070036,12.312070036
9,0.145038167939,1,MONTHLY,24,DEC,20,36.85364467875,36.85364467875,1.0,1.0,0.0,0.0,3.0780181343,44.1706644044,3.0780181343,44.1706644044
9,0.145038167939,1,MONTHLY,24,INC,20,12.2896236565,12.2896236565,1.0,1.0,0.0,0.0,12.0876062404,12.312070036,12.0876062404,12.312070036
9,0.145038167939,2,HOURLY,1,DEC,20,92.62085138950002,92.62085138950002,1.0,1.0,0.0,0.0,92.6208513895,92.6208513895,92.6208513895,92.6208513895
9,0.145038167939,2,HOURLY,1,INC,20,12.312070035999998,12.312070035999998,1.0,1.0,0.0,0.0,12.312070036,12.312070036,12.312070036,12.312070036
9,0.145038167939,2,HOURLY,4,DEC,20,90.70403387885501,90.70403387885501,1.0,1.0,0.0,0.0,70.2494121363,92.6208513895,70.2494121363,92.6208513895
9,0.145038167939,2,HOURLY,4,INC,20,12.312070035999998,12.312070035999998,1.0,1.0,0.0,0.0,12.312070036,12.312070036,12.312070036,12.312070036
9,0.145038167939,2,HOURLY,12,DEC,20,63.772799663674995,63.772799663674995,1.0,1.0,0.0,0.0,17.8063594596,73.1620134675,17.8063594596,73.1620134675
9,0.145038167939,2,HOURLY,12,INC,20,12.312070035999998,12.312070035999998,1.0,1.0,0.0,0.0,12.312070036,12.312070036,12.312070036,12.312070036
9,0.145038167939,2,HOURLY,24,DEC,20,36.85364467866499,36.85364467866499,1.0,1.0,0.0,0.0,3.0780181343,44.1706644042,3.0780181343,44.1706644042
9,0.145038167939,2,HOURLY,24,INC,20,12.2896236565,12.2896236565,1.0,1.0,0.0,0.0,12.0876062404,12.312070036,12.0876062404,12.312070036
