scenario,probability,case,case_name,duration_h,start,direction,F_PHYS_MW,F_RM_MW,retained_ratio,loss_MW,baseline_window_avg_MW,base_p2a_tau_MW,base_h2_prev_kg,base_used_matching_margin_tau_MW,base_available_matching_headroom_tau_MW
1,0.145038167939,1,MONTHLY,12,181,INC,17.7132323096,17.7132323096,1.0000000000,0.0000000000,87.7649938573,89.6139696162,7883.8510361307,4.9786494504,130.2195598342
1,0.145038167939,1,MONTHLY,12,181,DEC,38.9307642844,38.9307642844,1.0000000000,0.0000000000,87.7649938573,89.6139696162,7883.8510361307,4.9786494504,130.2195598342
1,0.145038167939,1,MONTHLY,12,187,INC,17.7132323096,17.7132323096,1.0000000000,0.0000000000,80.2917574040,89.6139696162,7353.6536307836,4.9786494504,39.6903798342
1,0.145038167939,1,MONTHLY,12,187,DEC,28.7758206540,28.7758206540,1.0000000000,0.0000000000,80.2917574040,89.6139696162,7353.6536307836,4.9786494504,39.6903798342
1,0.145038167939,1,MONTHLY,12,337,INC,0.1746577362,0.1746577362,1.0000000000,0.0000000000,105.3874294597,101.3579000000,3572.4691489768,5.3437976380,24.3171976380
1,0.145038167939,1,MONTHLY,12,337,DEC,34.3058169799,34.3058169799,1.0000000000,0.0000000000,105.3874294597,101.3579000000,3572.4691489768,5.3437976380,24.3171976380
1,0.145038167939,1,MONTHLY,12,343,INC,0.1746577362,0.1746577362,1.0000000000,0.0000000000,107.1525441896,107.1525441896,3875.9341610324,5.4718005292,43.1346563396
1,0.145038167939,1,MONTHLY,12,343,DEC,37.6686231742,37.6686231742,1.0000000000,0.0000000000,107.1525441896,107.1525441896,3875.9341610324,5.4718005292,43.1346563396
1,0.145038167939,1,MONTHLY,12,349,INC,0.1746577362,0.1746577362,1.0000000000,0.0000000000,107.1525441896,107.1525441896,4487.2239704976,5.4718005292,75.0847563396
1,0.145038167939,1,MONTHLY,12,349,DEC,40.8869596283,40.8869596283,1.0000000000,0.0000000000,107.1525441896,107.1525441896,4487.2239704976,5.4718005292,75.0847563396
1,0.145038167939,1,MONTHLY,12,355,INC,0.1746577362,0.1746577362,1.0000000000,0.0000000000,107.1525441896,107.1525441896,5098.5137799630,5.4718005292,79.0658563396
1,0.145038167939,1,MONTHLY,12,355,DEC,44.1052960824,44.1052960824,1.0000000000,-0.0000000000,107.1525441896,107.1525441896,5098.5137799630,5.4718005292,79.0658563396
1,0.145038167939,1,MONTHLY,12,505,INC,0.1746577362,0.1746577362,1.0000000000,-0.0000000000,107.1525441896,107.1525441896,20380.7590165954,5.4718005292,95.0434563396
1,0.145038167939,1,MONTHLY,12,505,DEC,104.7582636893,104.7582636893,1.0000000000,0.0000000000,107.1525441896,107.1525441896,20380.7590165954,5.4718005292,95.0434563396
1,0.145038167939,1,MONTHLY,12,511,INC,0.1746577362,0.1746577362,1.0000000000,-0.0000000000,107.1525441896,107.1525441896,20992.0488260607,5.4718005292,105.6100163396
1,0.145038167939,1,MONTHLY,12,511,DEC,104.7582636893,104.7582636893,1.0000000000,0.0000000000,107.1525441896,107.1525441896,20992.0488260607,5.4718005292,105.6100163396
1,0.145038167939,1,MONTHLY,12,517,INC,0.1746577362,0.1746577362,1.0000000000,-0.0000000000,107.1525441896,107.1525441896,21603.3386355259,5.4718005292,260.9260563396
1,0.145038167939,1,MONTHLY,12,517,DEC,104.7582636893,104.7582636893,1.0000000000,0.0000000000,107.1525441896,107.1525441896,21603.3386355259,5.4718005292,260.9260563396
1,0.145038167939,1,MONTHLY,12,523,INC,0.1746577362,0.1746577362,1.0000000000,0.0000000000,107.1525441896,107.1525441896,22214.6284449912,5.4718005292,202.8922563396
1,0.145038167939,1,MONTHLY,12,523,DEC,104.7582636893,104.7582636893,1.0000000000,0.0000000000,107.1525441896,107.1525441896,22214.6284449912,5.4718005292,202.8922563396
1,0.145038167939,1,MONTHLY,12,673,INC,0.0000000000,0.0000000000,-1.0000000000,0.0000000000,28.8845344968,92.3705000000,27779.5050157911,4.7307189886,4.7307189886
1,0.145038167939,1,MONTHLY,12,673,DEC,0.0000000000,0.0000000000,-1.0000000000,0.0000000000,28.8845344968,92.3705000000,27779.5050157911,4.7307189886,4.7307189886
1,0.145038167939,1,MONTHLY,12,679,INC,57.6244918007,57.6244918007,1.0000000000,0.0000000000,33.3692732712,2.3942805003,21869.4165334086,2.3942805003,7.4941000000
