scenario,probability,case,case_name,duration_h,start,direction,F_PHYS_MW,F_RM_MW,retained_ratio,loss_MW,baseline_window_avg_MW,base_p2a_tau_MW,base_h2_prev_kg,base_used_matching_margin_tau_MW,base_available_matching_headroom_tau_MW
4,0.038167938931,2,HOURLY,1,1,INC,0.0000000000,0.0000000000,-1.0000000000,0.0000000000,107.3272019258,107.3272019258,13515.5000000000,5.6464582654,47.3844803396
4,0.038167938931,2,HOURLY,1,1,DEC,104.9329214255,0.6119908790,0.0058322104,104.3209305464,107.3272019258,107.3272019258,13515.5000000000,5.6464582654,47.3844803396
4,0.038167938931,2,HOURLY,1,175,INC,0.0000000000,0.0000000000,-1.0000000000,0.0000000000,107.3272019258,107.3272019258,10107.7869274093,5.6464582654,42.6452053396
4,0.038167938931,2,HOURLY,1,175,DEC,104.9329214255,0.6119908790,0.0058322104,104.3209305465,107.3272019258,107.3272019258,10107.7869274093,5.6464582654,42.6452053396
4,0.038167938931,2,HOURLY,1,349,INC,0.5985701251,0.5985701251,1.0000000000,0.0000000000,106.7286318007,106.7286318007,13012.9446683188,5.0478881403,37.9002783396
4,0.038167938931,2,HOURLY,1,349,DEC,104.3343513004,0.0134207537,0.0001286322,104.3209305466,106.7286318007,106.7286318007,13012.9446683188,5.0478881403,37.9002783396
4,0.038167938931,2,HOURLY,1,523,INC,31.8375330767,0.0000000000,0.0000000000,31.8375330767,75.4896688491,75.4896688491,14187.9718104924,0.0000000000,0.0000000000
4,0.038167938931,2,HOURLY,1,523,DEC,73.0953883488,0.0000000000,0.0000000000,73.0953883488,75.4896688491,75.4896688491,14187.9718104924,0.0000000000,0.0000000000
4,0.038167938931,2,HOURLY,4,1,INC,0.0000000000,0.0000000000,-1.0000000000,0.0000000000,107.3272019258,107.3272019258,13515.5000000000,5.6464582654,47.3844803396
4,0.038167938931,2,HOURLY,4,1,DEC,104.9329214255,0.6019253135,0.0057362866,104.3309961119,107.3272019258,107.3272019258,13515.5000000000,5.6464582654,47.3844803396
4,0.038167938931,2,HOURLY,4,175,INC,0.0000000000,0.0000000000,-1.0000000000,0.0000000000,107.3272019258,107.3272019258,10107.7869274093,5.6464582654,42.6452053396
4,0.038167938931,2,HOURLY,4,175,DEC,104.9329214255,0.6019253135,0.0057362866,104.3309961119,107.3272019258,107.3272019258,10107.7869274093,5.6464582654,42.6452053396
4,0.038167938931,2,HOURLY,4,349,INC,0.5985701251,0.5985701251,1.0000000000,0.0000000000,106.7286318007,106.7286318007,13012.9446683188,5.0478881403,37.9002783396
