scenario,case,duration,start,direction,envelope,deltaP_MW,baseline_window_avg_MW,activated_window_avg_MW,grid_import_MWh,grid_export_MWh,res_used_MWh,h2_min_kg,h2_max_kg,monthly_margin_MWh,weekly_min_margin_MWh,hourly_min_margin_MW
3,2,1,337,DEC,PHYS,41.08435906,43.47863956,2.39428050,30724.97168889,13205.78497500,53508.99876062,2408.99999926,32998.37419507,-13738.31825925,-7281.19436335,-101.68074367
3,2,1,337,DEC,RM,41.08435906,43.47863956,2.39428050,21929.65203651,16550.18792468,65666.03499450,2409.00000000,32998.37419507,-1598.59565713,-2155.09601453,-101.68074367
3,2,1,505,INC,PHYS,0.00000000,107.32720193,107.32720193,27127.04836042,10281.47858513,54356.81664486,2408.99999901,25419.28634933,-13064.70132056,-8375.20374605,-101.68074366
3,2,1,505,INC,RM,0.00000000,107.32720193,107.32720193,28770.00760646,10386.19079184,52664.43158965,2408.99999901,24090.00000000,-14602.94835989,-8792.36669195,-101.68074370
3,2,1,505,DEC,PHYS,104.93292143,107.32720193,2.39428050,29259.11159432,10308.35352073,52106.76669270,2408.99999901,24090.00000000,-15169.88961886,-9017.39140946,-101.68074369
3,2,1,505,DEC,RM,104.93292143,107.32720193,2.39428050,30041.20053819,10354.12007450,51395.76640075,2408.99999901,24090.00000000,-15906.21200896,-9215.56173734,-101.68074367
3,2,1,673,INC,PHYS,0.00000000,107.32720193,107.32720193,28871.91190158,2962.21331919,45152.93696599,2409.00000000,24090.00000000,-22128.83012904,-9632.94728297,-101.68074366
3,2,1,673,INC,RM,0.00000000,107.32720193,107.32720193,31170.19274933,3048.43903819,42879.85968566,2408.99999939,24090.00000000,-24340.88525642,-9627.10485996,-101.68074369
3,2,1,673,DEC,PHYS,104.93292143,107.32720193,2.39428050,32992.97850599,3103.01103320,41122.49945469,2408.99999939,24090.00000000,-26109.09901808,-9762.99756098,-101.68074367
3,2,1,673,DEC,RM,104.93292143,107.32720193,2.39428050,7376.33623210,2549.82117377,66238.97457017,2408.99999980,24090.00000000,-1045.64660360,-2872.85839627,-101.68074366
3,2,4,1,INC,PHYS,0.00000000,102.14807891,102.81994434,39741.97441926,0.00000000,31468.35599782,2409.00000000,24439.15889934,-35961.10596453,-10582.11014455,-101.68074366
3,2,4,1,INC,RM,0.00000000,102.14807891,102.14807891,15683.18023091,22051.31964904,77533.26727850,2408.99999918,24090.00000000,10149.00787287,-0.00000000,-101.68074366
3,2,4,1,DEC,PHYS,84.81499950,102.14807891,17.33307941,7457.59300646,0.00000000,63519.56902373,19024.72280264,48180.00000050,-3676.72455173,-3128.48985274,-101.68074366
3,2,4,1,DEC,RM,84.81499950,102.14807891,16.91012813,10626.96367537,6846.09522063,67374.65067506,17265.51996285,48180.00000000,0.00000000,-0.00000000,-101.68074366
3,2,4,169,INC,PHYS,0.00000000,107.02791686,107.17755939,15100.47643882,11212.30882410,67381.77365250,17901.28032231,47513.78731749,-107.29915999,-1511.57261005,-101.68074366
3,2,4,169,INC,RM,0.00000000,107.02791686,107.17755939,16192.77723411,14374.86655304,69374.58608307,2409.00000000,39351.59227233,1962.95777360,-0.00000005,-101.68074366
3,2,4,169,DEC,PHYS,104.33435130,107.02791686,2.69356556,46864.96509817,9194.67396616,33520.06890385,2408.99999950,34407.59400809,-33889.42267702,-13299.32230222,-101.68074368
3,2,4,169,DEC,RM,104.33435130,107.02791686,2.54392303,16268.82984436,14451.61195155,69397.51458371,2409.00000000,34407.59400809,1963.65056052,-0.00000005,-101.68074366
3,2,4,337,INC,PHYS,63.84856236,43.47863956,107.32720193,44652.38075779,13141.12306746,39493.84902130,2408.99999975,32998.37419507,-27730.38923561,-13546.96309003,-101.68074369
3,2,4,337,INC,RM,63.84856236,43.47863956,107.32720193,21745.56077848,16715.74882663,65980.34713987,2408.99999975,32998.37419507,-1248.94349719,-2103.42046224,-101.68074369
3,2,4,337,DEC,PHYS,41.08435906,43.47863956,2.39428050,46075.83716656,13205.78497500,38163.92179065,2409.00000000,32998.37419507,-29089.18373687,-13635.65837307,-101.68074367
3,2,4,337,DEC,RM,41.08435906,43.47863956,2.39428050,22218.27529302,16838.81118119,65618.57823149,2409.00000000,32998.37419507,-1598.59565713,-2155.09601453,-101.68074367
3,2,4,505,INC,PHYS,0.00000000,105.81575891,106.66919374,26735.96480364,10176.66702035,54506.50349563,2408.99999901,24090.00000000,-12778.42932857,-8594.01077379,-101.68074366
3,2,4,505,INC,RM,0.00000000,105.81575891,105.81575891,28220.13508778,10336.82403977,53137.22037595,2408.99999901,24090.00000000,-14102.44259328,-8525.06016875,-101.68074367
3,2,4,505,DEC,PHYS,99.48571950,105.81575891,2.84320809,29335.76711145,10363.19344492,52128.98064939,2408.99999901,24090.00000000,-15191.70521180,-8641.60176665,-101.68074369
3,2,4,505,DEC,RM,99.48571950,105.81575891,2.84320809,30065.02899453,9999.27503571,51034.34895873,2408.99999901,24090.00000000,-16284.88550409,-8940.16427823,-101.68074370
3,2,4,673,INC,PHYS,0.00000000,101.58456144,107.32720193,29519.18497816,2933.30558247,44535.46669084,2409.00000000,40029.01806761,-22805.01094096,-8907.30635512,-101.68074366
3,2,4,673,INC,RM,0.00000000,101.58456144,107.32720193,29578.79702076,167.71722360,41637.30144254,3140.46599693,35072.56035458,-25630.21134244,-9456.12165908,-101.68074366
3,2,4,673,DEC,PHYS,70.99993541,101.58456144,27.99366254,32192.64075529,2652.94990690,41487.86709650,2409.00000000,24090.00000000,-25758.82239499,-9610.67098365,-101.68074372
3,2,4,673,DEC,RM,70.99993541,101.58456144,27.84402001,33378.49237651,13523.64453377,51183.34250800,2408.99999959,24090.00000000,-16073.97938801,-9482.70226630,-101.68074367
3,2,12,1,INC,PHYS,0.00000000,90.29052012,102.38640095,32580.06813252,0.00000000,38642.91954902,2409.00000000,24245.30332465,-28799.19967843,-9486.57478584,-101.68074369
3,2,12,1,INC,RM,0.00000000,90.29052012,107.32720193,9753.27349595,7214.46193067,68696.80700455,2408.99999926,25486.63560016,1242.05688944,-0.00000000,-101.68074366
3,2,12,1,DEC,PHYS,46.50811950,90.29052012,2.54392303,30641.02978351,0.00000000,40538.47800653,2408.99999950,24090.00000000,-26860.16132878,-8737.15355207,-101.68074366
3,2,12,1,DEC,RM,46.50811950,90.29052012,2.39428050,9457.07898065,6911.10898695,68657.80186589,2409.00000000,24090.00000000,1234.89846098,-0.00000000,-101.27322366
3,2,12,169,INC,PHYS,0.00000000,99.95070293,105.72502104,28091.84323735,9194.67396616,52415.04700499,2409.00000000,35455.07070660,-15116.30081646,-7225.94452152,-101.68074366
3,2,12,169,INC,RM,0.00000000,99.95070293,105.77490189,17434.82104004,15617.70460065,69430.36303329,2409.00000000,34852.59830094,1963.75201535,-0.00000000,-101.68074366
3,2,12,169,DEC,PHYS,75.92823950,99.95070293,2.59380388,28199.89993681,9194.67396616,52272.16559744,2409.00000000,34407.59400809,-15224.35751663,-7349.65874575,-101.68074366
3,2,12,169,DEC,RM,75.92823950,99.95070293,9.06787101,18225.08898074,16407.87108724,69405.03643081,6287.01869745,34407.59400809,1963.65056121,-0.00000000,-101.68074366
3,2,12,337,INC,PHYS,38.31904193,46.71630368,104.22260185,30420.04033459,13141.12306746,53790.46588851,2408.99999926,33888.38278203,-13498.04881241,-7175.32223246,-101.68074369
3,2,12,337,INC,RM,38.31904193,46.71630368,107.12767855,22348.68463512,17318.87268327,66019.16654720,2409.00000000,34395.00979317,-1248.94349713,-2103.42046224,-101.68074369
3,2,12,337,DEC,PHYS,41.08435906,46.71630368,2.39428050,28808.92128099,13141.12306746,55405.81704090,2409.00000000,32998.37419507,-11886.92975887,-5628.53968472,-101.68074369
3,2,12,337,DEC,RM,41.08435906,46.71630368,2.49404219,21703.87949219,16692.79844910,66034.88149501,2409.00000000,32998.37419507,-1230.21258837,-2103.42046224,-101.68074369
3,2,12,505,INC,PHYS,0.00000000,97.87015679,106.37859316,26207.82398730,9986.55885575,54949.81785489,2408.99999901,24090.00000000,-12440.39667682,-8701.54581726,-101.68074366
3,2,12,505,INC,RM,0.00000000,97.87015679,104.30348466,27678.39610749,10018.63201055,53402.81379387,2408.99999959,24241.90391385,-13878.89564224,-9048.00885710,-101.68074369
3,2,12,505,DEC,PHYS,65.58992854,97.87015679,31.07362936,28628.28237109,9782.05557456,52276.12545472,2408.99999950,24090.00000000,-15065.35834180,-9034.39586828,-101.68074371
3,2,12,505,DEC,RM,65.58992854,97.87015679,30.56586502,28510.47579523,9550.86621605,52166.97911162,2408.99999926,24090.00000000,-15178.74112452,-8852.16778607,-101.68074371
3,2,12,673,INC,PHYS,0.00000000,97.58232996,107.12767855,29019.17420319,2666.79383063,44717.44801704,2409.00000000,24090.00000000,-22571.51191783,-9182.40133959,-101.68074366
3,2,12,673,INC,RM,0.00000000,97.58232996,107.12767855,29707.89831431,2991.58842926,44331.80287636,2409.00000000,25488.87126090,-22935.44143032,-8452.26048790,-101.68074366
3,2,12,673,DEC,PHYS,19.26173786,97.58232996,78.32059210,30552.47326064,2760.15998833,43211.54302474,2408.99999959,24090.00000000,-24011.44481758,-9457.58379041,-101.68074367
3,2,12,673,DEC,RM,19.26173786,97.58232996,78.32059210,29355.64512673,13134.16877142,54770.72915541,2408.99999918,24090.00000000,-12440.60790058,-8951.78549661,-101.68074367
3,3,1,1,INC,PHYS,0.59857013,106.72863180,107.32720193,33978.64098773,0.00000000,37261.58750278,2408.99999950,24181.10214610,-30197.77253300,-11099.08989096,-101.68074366
3,3,1,1,INC,RM,0.59857013,106.72863180,107.32720193,1218.90839920,3427.73610265,73397.38564874,2408.99999901,48176.24100755,5989.69615813,274.19797674,-0.00000000
3,3,1,1,DEC,PHYS,104.33435130,106.72863180,2.39428050,41649.05131338,0.00000000,29610.33522437,2408.99999975,27157.56553326,-37868.18285865,-11005.90773427,-101.68074366
3,3,1,1,DEC,RM,0.56490589,106.72863180,106.16372591,1213.62955910,2891.98607725,72866.89923052,2408.99999901,48170.79750825,5459.22497288,274.79654692,-0.00000000
3,3,1,169,INC,PHYS,0.00000000,107.32720193,107.32720193,13518.17857950,14742.36780248,72509.92215653,18853.74382424,48180.00000000,5005.05767771,-1512.56048177,-101.68074366
3,3,1,169,INC,RM,0.00000000,107.32720193,107.32720193,9769.84442938,9193.47682591,70603.03827081,2408.99999975,48180.00000000,3204.50085126,195.57182905,-101.68074366
3,3,1,169,DEC,PHYS,104.93292143,107.32720193,2.39428050,37068.33113381,9193.47682591,43323.58286348,2409.00000000,34915.05321669,-24093.98585318,-10368.34353099,-101.68074366
3,3,1,169,DEC,RM,0.59857012,107.32720193,106.72863180,9756.79159133,9193.47682591,70616.09110886,2408.99999975,48180.00000000,3217.55368930,191.89966518,-101.68074366
3,3,1,337,INC,PHYS,104.93292143,2.39428050,107.32720193,26940.02007325,19811.19274856,64227.99569454,2408.99999939,36907.74562705,-3347.95886988,-10054.20559578,-101.68074369
3,3,1,337,INC,RM,0.01577602,2.39428050,2.41005652,8751.89010906,20013.35065559,82606.83861381,2408.99999918,36985.33647097,15042.32900118,196.08965606,-101.68074369
3,3,1,337,DEC,PHYS,0.00000000,2.39428050,2.39428050,27144.12685318,19811.19274856,64014.26306972,2408.99999939,36907.74562705,-3552.06564981,-10204.76187676,-101.68074369
3,3,1,337,DEC,RM,0.00000000,2.39428050,2.39428050,8758.64280397,20013.35065625,82600.08591833,2409.00000000,36985.33647097,15035.57630569,197.77392326,-101.68074369
3,3,1,505,INC,PHYS,0.59857013,106.72863180,107.32720193,21051.12158655,10022.08308495,60163.91503192,2408.99999901,24241.90391385,-7248.17004686,-8735.36925263,-101.68074366
3,3,1,505,INC,RM,0.59857013,106.72863180,107.32720193,15676.41247503,9490.20978708,64858.85101823,2408.99999901,24090.00000000,-2405.33423404,-8181.27516707,-101.68074367
3,3,1,505,DEC,PHYS,104.33435130,106.72863180,2.39428050,22301.20545346,10250.58856053,59021.23373135,2408.99999901,24090.00000000,-8269.74843821,-8087.07786282,-101.68074369
3,3,1,505,DEC,RM,0.00000000,106.72863180,106.72863180,17501.94667239,9142.13826106,62692.62713134,2408.99999901,24090.00000000,-4578.93995739,-8362.57663063,-101.68074367
3,3,1,673,INC,PHYS,0.00000000,107.32720193,107.32720193,23392.67500126,2924.31445290,50600.14874189,2408.99999980,24090.00000000,-16687.49209364,-8845.77277568,-101.68074366
3,3,1,673,INC,RM,0.00000000,107.32720193,107.32720193,23699.33798988,2666.36475441,49989.94600819,2408.99999939,24090.00000000,-17252.10478073,-9409.89842958,-101.68074369
3,3,1,673,DEC,PHYS,104.93292143,107.32720193,2.39428050,27712.11699724,2981.30787389,46393.21555105,2409.00000000,34536.39321154,-20949.94066862,-10294.58189410,-101.68074366
3,3,1,673,DEC,RM,0.59857013,107.32720193,106.72863180,24984.74913250,2739.90191125,48845.93525744,2409.00000000,27173.39483425,-18463.97876790,-9685.06587329,-101.68074366
3,3,4,1,INC,PHYS,0.00000000,103.18710106,107.32720193,7361.19447829,7238.67218451,71108.63041954,6807.98885359,24788.35928862,3658.34616095,-3128.84752135,-101.68074366
