case,case_name,scenario,probability,hours,cost_USD,grid_import_MWh,grid_export_MWh,res_used_MWh,res_curt_MWh,p2a_MWh,el_stack_MWh,matched_MWh,nh3_kg,h2_min_kg,h2_max_kg,monthly_margin_MWh,weekly_min_margin_MWh,hourly_min_margin_MW,simul_imp_exp_hours,imp_with_curt_hours
2,WEEKLY,4,0.0833333333,720,25843.2134068295,430.7202234472,0.0000000000,68247.2281921388,22041.1537678610,68677.9484155859,60493.9441148633,65019.0434593949,6409489.1565599982,17603.4205370262,30742.8255443436,3228.1847327438,238.5726826405,-30.9520613051,0,0
2,WEEKLY,5,0.0833333333,744,0.0011963526,0.0000000000,11.9635255625,70761.6854304458,62512.1194495544,70749.7219048833,62292.9174608024,66968.8534501516,6623138.7951120101,21777.0029575288,30815.8526567080,3792.8319802931,366.9376878656,3.5745847413,0,0
2,WEEKLY,6,0.0833333333,720,0.0000000000,0.0000000000,0.0000000000,68427.3843605647,71170.9288794356,68427.3843605647,60243.3800598411,64768.4794043724,6409489.1565599907,20712.4868672260,26584.4405188528,3658.9049561909,242.5080561828,3.6053975865,0,0
2,WEEKLY,7,0.0833333333,744,0.0000000000,0.0000000000,0.0000000000,70693.9864370280,99879.9073229724,70693.9864370280,62237.1819929468,66913.1179822958,6623138.7951120064,22956.4464525576,28022.6695197995,3780.8684547306,368.8691141756,4.2495505674,0,0
2,WEEKLY,8,0.0833333333,744,0.0016072101,0.0000000000,16.0721012503,70724.3440208817,111072.9974591186,70708.2719196315,62251.4674755503,66927.4034648994,6623138.7951120082,22987.7238757538,27747.2979631005,3796.9405559809,366.1048357058,3.9113454281,0,0
2,WEEKLY,9,0.0833333333,720,0.0000000000,0.0000000000,0.0000000000,68410.9144016273,136180.8974383732,68410.9144016273,60226.9101009036,64752.0094454349,6409489.1565600038,21852.8675584378,26239.7528227327,3658.9049561909,243.6151050796,4.6522872100,0,0
2,WEEKLY,10,0.0833333333,744,0.0000000000,0.0000000000,0.0000000000,70691.5738038033,148658.9430361972,70691.5738038033,62234.7693597220,66910.7053490712,6623138.7951120008,21467.8431234609,26967.9034353100,3780.8684547306,364.9030279336,4.5299781003,0,0
2,WEEKLY,11,0.0833333333,720,0.0004809665,0.0000000000,4.8096653126,68422.4677027897,112929.7972172108,68417.6580374771,60233.6537367534,64758.7530812848,6409489.1565600112,23110.9690295156,28841.1200923452,3663.7146215035,247.9197708277,4.1392697633,0,0
2,WEEKLY,12,0.0833333333,744,0.0002280415,0.0000000000,2.2804151875,70697.1378887946,97436.6058712058,70694.8574736071,62238.0530295260,66913.9890188751,6623138.7951120036,22919.2781473417,27103.2246454046,3783.1488699181,367.2896249654,4.2863352445,0,0
3,HOURLY,1,0.0833333333,744,0.0535109397,0.0008918490,0.0000000000,71071.2081520781,39953.4131679218,71071.2090439271,62614.4045998468,67290.3405891962,6623138.7951119775,15107.8385088277,41854.1297091680,3780.8675628816,378.6198362345,2.3942805003,0,0
